"gender","party"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Republican"
"Male","Democrat"
"Female","Republican"
"Female","Republican"
"Male","Democrat"
"Male","Republican"
"Male","Democrat"
"Male","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Independent"
"Female","Republican"
"Female","Independent"
"Female","Democrat"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Republican"
"Male","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Democrat"
"Male","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Independent"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Independent"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Independent"
"Female","Republican"
"Male","Independent"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Independent"
"Male","Republican"
"Male","Democrat"
"Male","Democrat"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Independent"
"Female","Democrat"
"Male","Democrat"
"Female","Independent"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Male","Democrat"
"Female","Republican"
"Female","Independent"
"Female","Republican"
"Male","Republican"
"Female","Republican"
"Male","Independent"
"Female","Republican"
"Male","Democrat"
"Female","Independent"
"Male","Republican"
"Female","Independent"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Male","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Male","Independent"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Independent"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Independent"
"Female","Independent"
"Female","Independent"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Male","Democrat"
"Female","Independent"
"Female","Independent"
"Female","Republican"
"Female","Democrat"
"Male","Democrat"
"Male","Republican"
"Male","Republican"
"Male","Republican"
"Male","Democrat"
"Male","Democrat"
"Female","Republican"
"Male","Republican"
"Male","Democrat"
"Male","Independent"
"Male","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Female","Independent"
"Female","Republican"
"Female","Independent"
"Male","Independent"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Democrat"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Male","Democrat"
"Male","Democrat"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Independent"
"Female","Independent"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Independent"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Male","Independent"
"Female","Independent"
"Male","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Independent"
"Female","Democrat"
"Female","Independent"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Republican"
"Male","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Democrat"
"Male","Democrat"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Republican"
"Male","Independent"
"Male","Republican"
"Female","Democrat"
"Male","Democrat"
"Male","Republican"
"Male","Democrat"
"Female","Democrat"
"Male","Independent"
"Female","Republican"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Democrat"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Independent"
"Female","Republican"
"Male","Republican"
"Male","Republican"
"Male","Republican"
"Female","Democrat"
"Male","Republican"
"Male","Republican"
"Female","Independent"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Independent"
"Female","Republican"
"Male","Republican"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Male","Republican"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Republican"
"Male","Democrat"
"Male","Republican"
"Female","Republican"
"Female","Republican"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Independent"
"Female","Republican"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Independent"
"Female","Independent"
"Male","Republican"
"Male","Democrat"
"Male","Republican"
"Female","Republican"
"Male","Democrat"
"Female","Democrat"
"Female","Independent"
"Male","Independent"
"Female","Republican"
"Male","Republican"
"Male","Democrat"
"Male","Republican"
"Male","Democrat"
"Female","Republican"
"Female","Independent"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Male","Independent"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Male","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Independent"
"Male","Democrat"
"Male","Democrat"
"Female","Independent"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Independent"
"Male","Democrat"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Independent"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Independent"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Male","Republican"
"Male","Democrat"
"Male","Republican"
"Male","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Male","Democrat"
"Female","Independent"
"Male","Democrat"
"Male","Democrat"
"Male","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Independent"
"Female","Republican"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Republican"
"Female","Republican"
"Female","Republican"
"Female","Independent"
"Male","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Male","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Independent"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Male","Republican"
"Male","Democrat"
"Female","Republican"
"Male","Democrat"
"Female","Democrat"
"Female","Republican"
"Male","Democrat"
"Male","Democrat"
"Male","Independent"
"Male","Democrat"
"Male","Republican"
"Female","Republican"
"Male","Democrat"
"Female","Independent"
"Female","Democrat"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Male","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Male","Independent"
"Male","Democrat"
"Male","Independent"
"Male","Republican"
"Female","Republican"
"Female","Republican"
"Male","Republican"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Male","Republican"
"Female","Democrat"
"Male","Republican"
"Male","Democrat"
"Female","Independent"
"Male","Democrat"
"Female","Republican"
"Female","Democrat"
"Male","Independent"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Independent"
"Female","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Female","Republican"
"Male","Republican"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Male","Republican"
"Female","Republican"
"Male","Democrat"
"Male","Republican"
"Female","Democrat"
"Female","Democrat"
"Female","Democrat"
"Female","Independent"
"Female","Republican"
"Male","Republican"
"Female","Independent"
"Female","Democrat"
"Male","Democrat"
"Female","Independent"
"Male","Democrat"
"Male","Democrat"
"Female","Independent"
"Male","Republican"
"Male","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Male","Democrat"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Republican"
"Male","Democrat"
"Female","Republican"
"Female","Republican"
"Male","Democrat"
"Female","Independent"
"Female","Republican"
"Female","Republican"
"Female","Democrat"
"Female","Democrat"
"Male","Democrat"
"Male","Republican"
"Male","Republican"
"Male","Democrat"
"Female","Independent"
